benchmark,N,mc_containment,box_support_final_d0,box_support_final_d1,box_verified_d0,box_verified_d1,box_volume_final,ell_isect_support_final_d0,ell_isect_support_final_d1,ell_support_final_d0,ell_support_final_d1,ell_verified_d0,ell_verified_d1,ell_volume_final,ell_volume_mc_inside,ell_volume_mc_samples,safety_bound_d0,safety_bound_d1,support_gap_d0,support_gap_d1,zono_gap_d0,zono_gap_d1,zono_order_final,zono_support_final_d0,zono_support_final_d1,zono_verified_d0,zono_verified_d1,zono_volume_final
double_integrator,15,1.0,3.3934577335029843,1.1878899893393795,0,1,20.221371281381792,1.9352592033907032,0.2281946416403814,2.768325330197557,0.22831614982850207,0,1,1.8184948060205732,110987.0,200000.0,2.0,2.0,0.6251324033054271,0.9595738395108775,-0.6920460024919084,0.13504964015539683,17.0,2.076279327705649,0.3633657899838989,0,1,2.564161584603033
stable_linear,20,1.0,5.970732391133515,5.952053069926259,0,0,67.39283794874206,1.1037710423329383,1.185134061590829,1.1042436339002701,1.2013204405270645,1,1,3.62328442612103,156074.0,200000.0,2.5,2.5,4.8664887572332445,4.750732629399194,0.3260156720837535,0.2478614151160894,60.0,1.4302593059840236,1.449181855643154,1,1,5.601491549596839
rotation_showcase,12,1.0,13.639309587594067,9.978088471898001,0,0,367.77850575905893,0.40494167864925384,0.5530724894127197,0.40838542080615636,0.5531089656973003,1,1,0.06645481117164476,78495.0,200000.0,1.35,1.6,13.23092416678791,9.424979506200701,0.01337561432878398,0.04650954664915896,14.0,0.42176103513494034,0.5996185123464592,1,1,0.0848108206094901
stable_4d,18,1.0,0.8124115642194141,1.7976624155621965,1,1,6.1621094767089755,0.5042209337030754,0.6995853038790609,0.5067172020264594,0.7065892824181004,1,1,0.1109762445855618,42546.0,200000.0,1.5,2.0,0.30569436219295465,1.0910731331440962,0.0689883338553815,0.35731823907148863,112.0,0.5757055358818409,1.063907521489589,1,1,nan
