benchmark,step,ell_support_d0,box_support_d0,zono_support_d0,safety_bound_d0,ell_verified_d0,box_verified_d0,zono_verified_d0,ell_support_d1,box_support_d1,zono_support_d1,safety_bound_d1,ell_verified_d1,box_verified_d1,zono_verified_d1,ell_volume,box_volume,zono_volume
double_integrator,0,1.2,1.2,1.2,2.0,1,1,1,0.5,0.5,0.5,2.0,1,1,1,0.7849600031398402,1.0,1.0
double_integrator,1,1.2074336811718671,1.3008561350493064,1.2968639066998984,2.0,1,1,1,0.48073052036195857,0.5085613504930644,0.4925319320183289,2.0,1,1,1,0.7894461241929809,1.2705219372291858,1.0018708146008464
double_integrator,2,1.2295888240511208,1.4038333234470604,1.387445963843369,2.0,1,1,1,0.46000028694397377,0.5212105334844763,0.4836384592703402,2.0,1,1,1,0.7958674838030465,1.590304962176653,1.0120277792413646
double_integrator,3,1.2656243961064249,1.509790244217831,1.4717630852637393,2.0,1,1,1,0.4383373839547576,0.5383586742232295,0.4738252766424351,2.0,1,1,1,0.8058177707132564,1.9718874547169936,1.0324632328690102
double_integrator,4,1.313745052134022,1.6196723204948644,1.5498882977281148,2.0,1,1,1,0.41611071775388236,0.5604620885471036,0.4633472954918002,2.0,1,1,1,0.8206536432033563,2.4304912450613982,1.064780589223743
double_integrator,5,1.3721891976383365,1.7345211955960727,1.6219340278768413,2.0,1,1,1,0.3936776143329983,0.5880266624649791,0.4524218278613784,2.0,1,1,1,0.8431558760739885,2.9846670314957624,1.1105598937120713
double_integrator,6,1.43984719951262,1.8554953137297676,1.6880514212945146,2.0,1,1,1,0.37137444805279857,0.6217145188719712,0.44124459448418124,2.0,1,1,1,0.8749252754899074,3.65734704579985,1.171373649391548
double_integrator,7,1.5164950234408572,1.9838940381764336,1.74842965761651,2.0,1,1,1,0.3495172655557457,0.6622727255946886,0.4299983842117899,2.0,1,1,1,0.9141471930647598,4.476831994021363,1.2488032456021148
double_integrator,8,1.602826672219161,2.1211637817416555,1.803295215802751,2.0,1,0,1,0.3284070221304827,0.7104247100575292,0.41885794471178056,2.0,1,1,1,0.9663686028759099,5.4777367931284555,1.344456195060866
double_integrator,9,1.7013607938451998,2.267405387315615,1.8534068285783758,2.0,1,0,1,0.3083359523528314,0.7519913456820646,0.41105480227247476,2.0,1,1,1,1.0330276039388548,6.5950010571531275,1.4561609057492604
double_integrator,10,1.815667386266061,2.4226242905828284,1.8994990113096044,2.0,1,0,1,0.2928631357147282,0.8001976869900738,0.4033734392814686,2.0,1,1,1,1.1124099250577197,7.932205666749359,1.586687833916149
double_integrator,11,1.9492097978243508,2.5882134384364566,1.941784469027357,2.0,1,0,1,0.2781716731786439,0.8556937915462077,0.3959715420651867,2.0,1,1,1,1.208305755130591,9.535422001625241,1.7378874799636777
double_integrator,12,2.1061410635802,2.7657020332411806,1.9805083532538974,2.0,0,0,1,0.2644971451420131,0.9191921565010331,0.3890089043304228,2.0,1,1,1,1.324158994160324,11.460266741710743,1.911769798062775
double_integrator,13,2.2913425562453202,2.957422370747181,2.0159483001574494,2.0,0,0,0,0.25207918681136166,0.9980112185589722,0.3826474725397112,2.0,1,1,1,1.4638854989407593,13.845125871966793,2.1105283012862888
double_integrator,14,2.5099920989269635,3.1659461135860623,2.0479288792334565,2.0,0,0,0,0.24133798787184485,1.0872262098298393,0.3727289628471012,2.0,1,1,1,1.6306550864763223,16.72983043805011,2.324154042526791
double_integrator,15,2.768325330197557,3.3934577335029843,2.076279327705649,2.0,0,0,0,0.22831614982850207,1.1878899893393795,0.3633657899838989,2.0,1,1,1,1.8184948060205732,20.221371281381792,2.564161584603033
stable_linear,0,1.507873767279779,1.693115703813497,1.693115703813497,2.5,1,1,1,0.8007669860932316,0.9860089226269494,0.9860089226269495,2.5,1,1,1,0.6279680028083582,0.7999999999999997,0.7999999999999998
stable_linear,1,1.4678769997699468,1.7411576555480583,1.6779121023446908,2.5,1,1,1,0.9399107530581838,1.2464230490216779,1.134635686208079,2.5,1,1,1,0.8023499539498739,1.2647133313374779,1.0638158039070607
stable_linear,2,1.4235899423832716,1.7972875013595864,1.649365297602758,2.5,1,1,1,1.046451886648677,1.4844507225875623,1.235284122904255,2.5,1,1,1,0.9874325986926318,1.8670838748764078,1.3697528812893227
stable_linear,3,1.3678575753480082,1.852894415819748,1.6021640580572325,2.5,1,1,1,1.1227936901292401,1.6913154670288493,1.2892637326781275,2.5,1,1,1,1.153754796876243,2.564642850019141,1.6682160163536146
stable_linear,4,1.312023583032262,1.923168544758437,1.5512626530059324,2.5,1,1,1,1.1782909284641727,1.8820421649584236,1.3106467298318387,2.5,1,1,1,1.3201982458671047,3.407067191692322,1.978010099764924
stable_linear,5,1.2564245629692539,2.013168627111663,1.497907248214875,2.5,1,1,1,1.2173120716886323,2.0648744806372052,1.3619119560723258,2.5,1,1,1,1.478916501126391,4.430631403183855,2.275971993719851
stable_linear,6,1.203092185062388,2.1232992278110174,1.4450445845186595,2.5,1,1,1,1.2426803836140197,2.24372673791882,1.4211134291607326,2.5,1,1,1,1.6291398989966683,5.656186677871166,2.5614855875498805
stable_linear,7,1.1538057572936098,2.254635312334465,1.3951731420759819,2.5,1,1,1,1.257576499292436,2.422949749834592,1.4624601972522964,2.5,1,1,1,1.7725936945779739,7.112605736982523,2.8339821588412715
stable_linear,8,1.112661897244992,2.4081837019514496,1.35179759271134,2.5,1,1,1,1.2646121498062004,2.60666312432567,1.4898342040273709,2.5,1,0,1,1.919187996707854,8.834781762512339,3.0992052366105893
stable_linear,9,1.0783127703759205,2.5837703054355114,1.3311835010485868,2.5,1,0,1,1.2653068258046694,2.797749234825046,1.5052013285167234,2.5,1,0,1,2.0656743590733027,10.854885244469578,3.3468096652042867
stable_linear,10,1.0517361667770209,2.781596145669919,1.3236496821537571,2.5,1,0,1,1.2609388802990353,2.999006257034459,1.511345413962079,2.5,1,0,1,2.211948396975255,13.212058365172773,3.577560083733568
stable_linear,11,1.0323016040241142,3.001639509332912,1.3193929398625843,2.5,1,0,1,1.2532460934457352,3.2127992165655943,1.5110400238373232,2.5,1,0,1,2.3567695719820514,15.949146639328807,3.7985990777008043
stable_linear,12,1.019839046777474,3.243827022658285,1.3192562033417798,2.5,1,0,1,1.243523182406054,3.441139656989306,1.506317967744344,2.5,1,0,1,2.500581640412362,19.113612592788765,4.015865200300065
stable_linear,13,1.0139774159946962,3.5080590495061967,1.323229452250729,2.5,1,0,1,1.2329411656338296,3.685734518189127,1.4985337894609654,2.5,1,0,1,2.6447002365054324,22.75793336731981,4.228707573082599
stable_linear,14,1.0141916338609298,3.7942219449173153,1.3307113139522249,2.5,1,0,1,1.22253423572751,3.9480281744456978,1.4888567622809543,2.5,1,0,1,2.7888414050704013,26.939954575317426,4.435275806586017
stable_linear,15,1.0198457989330076,4.102221261597239,1.3411098040771585,2.5,1,0,1,1.213183849564368,4.229247737505083,1.4783434898711687,2.5,1,0,1,2.9323569918235157,31.72343937413305,4.637956381256146
stable_linear,16,1.0302321855452643,4.432008558493571,1.3540259068203655,2.5,1,0,1,1.2056056450665393,4.5304455789342875,1.4679706122557423,2.5,1,0,1,3.07446174445738,37.17868537847059,4.83840360888913
stable_linear,17,1.0446058779466925,4.783602564681523,1.36909971588785,2.5,1,0,1,1.200342188066335,4.85253862419565,1.4584196252410273,2.5,1,0,1,3.2148252245853435,43.38321466661768,5.035015702865712
stable_linear,18,1.0622148871063284,5.157105437290632,1.385797007098059,2.5,1,0,1,1.197762918128062,5.19634415208719,1.450112756054056,2.5,1,0,1,3.3538852847678053,50.422542601057124,5.228594955831894
stable_linear,19,1.0823256214163068,5.552714822893224,1.4037861776973137,2.5,1,0,1,1.1980715602449101,5.562611984007031,1.444625300227017,2.5,1,0,1,3.4901674306963884,58.39103175764209,5.417215546389202
stable_linear,20,1.1042436339002701,5.970732391133515,1.4302593059840236,2.5,1,0,1,1.2013204405270645,5.952053069926259,1.449181855643154,2.5,1,0,1,3.62328442612103,67.39283794874206,5.601491549596839
rotation_showcase,0,1.409776745439948,1.5187251820681817,1.5187251820681817,1.35,0,0,0,1.3732050807568876,1.3732050807568876,1.3732050807568876,1.6,1,1,1,0.4212537436843223,0.5366563145999493,0.5366563145999493
rotation_showcase,1,1.2981563485989212,1.9360502883660589,1.3903863418814353,1.35,1,0,0,1.2055991354719584,1.2860645195525835,1.285256899932531,1.6,1,1,1,0.3600929192739519,1.457267359369157,0.456805020204855
rotation_showcase,2,0.9662007627726131,1.442660288180408,1.0124216816997826,1.35,1,0,1,0.17088139912853278,0.3262811008971935,0.22985338339024985,1.6,1,1,1,0.30729849934454867,2.4396256558861364,0.3902696448808841
rotation_showcase,3,-0.09163242399927723,0.8377992427779367,-0.015703158980721943,1.35,1,1,1,-0.7719153975315428,0.08052041260731425,-0.7172717462194245,1.6,1,1,1,0.2620460491514562,4.027534546156456,0.33447642941968064
