step,idx,cx,cy,area
0,0,1.2,0.0,0.9424777960769379
1,0,1.2645000967894602,0.7620601628339219,0.38852830619476547
1,1,1.5152211676067706,0.19898971393576864,0.34027412883667113
2,0,1.016617608944144,1.3064314615977355,0.5899877899660292
2,1,1.559108405165202,0.8372451716751608,0.38999354627410776
2,2,1.6992261243356304,0.4977445136838731,0.028834850981541885
2,3,0.6158986373207425,1.5199320759368251,0.004339135544812125
3,0,1.3051837146329412,1.4973489901532289,0.6374501003036207
3,1,0.33633035040069736,1.8321440180454585,0.45754799249675077
3,2,0.8881761249275711,1.7318568838227963,0.0910829272640974
3,3,1.6319967499993535,1.1722091609812475,0.06651930055357641
3,4,-0.021870118812322037,1.8621548376562755,0.017036830995710083
4,0,-0.4065108514879137,2.084876370717974,0.5540065916757438
4,1,0.5151202080865855,2.1617726160139488,0.40131800116887123
4,2,0.16864295380716587,2.199650317324317,0.15783498294413686
4,3,1.0709947366737502,2.0873086908904828,0.14647782924329425
4,4,1.2167607960232372,1.8952433847818126,0.13150739864406033
4,5,-0.8508483377401795,1.9392434180419347,0.021360020325492245
4,6,-0.8577038059791616,1.97440748347119,0.013445475294504128
4,7,-0.7824291508321511,1.972301814740727,0.011294835832289614
5,0,-1.2836532267610128,1.9995692715686586,0.6593636209508615
5,1,-0.4058282331336368,2.4977895843035247,0.5964795840427903
5,2,0.20380251679020311,2.6513334463572433,0.23890267547804095
5,3,0.4387483760483347,2.5094113736873678,0.21719978944620558
5,4,-0.7418094318282497,2.4054950663314996,0.18933049789902762
5,5,-1.5934191891740586,1.6327373497230617,0.04506984212789657
5,6,-1.6147605351176881,1.6665242904823832,0.03239473823453256
5,7,-1.5475339179597123,1.701009953463828,0.02877881166961183
5,8,-0.9872571816263733,2.2943129035377106,0.014555432935435599
5,9,-0.8872823738029233,2.2103329166095085,0.008623862427128322
6,0,-2.0009338199997084,1.4853708814743656,0.8536783517850931
6,1,-1.4627818387480753,2.436383574463098,0.7117246114474285
6,2,-0.6364149733280793,2.8329671961285867,0.3398436453828453
6,3,-0.894094554533977,2.899424363496254,0.2736071107450226
6,4,-1.700263514231713,2.1782325666651454,0.27166081823090776
6,5,-2.103465763407842,1.0414324677614029,0.056366331304651025
6,6,-2.1100315239144316,0.9981870662774524,0.03801254295142727
6,7,-1.868098267158878,1.9411369760465766,0.034224989532331565
6,8,-2.1326543979290395,1.002863067756325,0.03322213130831678
6,9,-1.7434838983944307,1.9012160997186434,0.024121249530705404
6,10,-1.1865733938078393,2.765391417314173,0.01789512615351628
6,11,-2.136387167685162,0.8770719241164645,0.01788396271067519
