step,inner_mc_area,robust_mc_area,true_hull_mc_area,outer_area,inner_over_true,outer_over_true
0,0.9421499999999998,0.9422099999999999,0.9398871928136876,0.9424777960769379,1.002407530609645,1.0027562916944266
1,0.7196778644182285,0.48362716411308915,1.3290459659821436,1.6183060262666964,0.5414996041061665,1.217644887903327
2,0.9762779648137562,0.5061353330232139,1.934314633205579,2.598316133246312,0.5047151833804058,1.3432748161245818
3,1.1812655660437417,0.416027316406841,2.6881348745945846,4.301387971593925,0.43943686650838015,1.6001384499885432
4,1.2537042895417179,0.28630867638248547,3.572430139002797,6.4817111346107135,0.35093878417778523,1.8143702976428278
5,1.666713104997733,0.24276401296652342,4.478848358970149,10.185045558521832,0.3721298359342024,2.2740322382479023
6,2.0910940505011997,0.18927324489296854,5.2816051341482515,14.991892749737827,0.3959201790723085,2.8385107119817894
