step,idx,cx,cy,area
0,0,1.2,0.0,0.9424777960769379
1,0,1.2645000967894602,0.7620601628339219,0.2609694664022116
1,1,1.5152211676067706,0.19898971393576864,0.2217857154982695
2,0,1.016617608944144,1.3064314615977355,0.3028025957429238
2,1,1.5707610951118711,0.8013773650621497,0.20172768912734126
3,0,1.3362189668256603,1.4618478996495816,0.22787051314153814
3,1,0.4016443824075828,1.8230626351207424,0.18208329351304092
3,2,0.7868399158639383,1.7006241992689546,0.004778528707137745
4,0,-0.37626697301294515,2.0927466222592113,0.18058972610494736
4,1,0.6419822193299068,2.1037409597259877,0.08891758451463724
4,2,0.9658956625990528,2.051064209658569,0.017085241537521317
5,0,-1.2421548131035445,2.026261406145072,0.15654725882895693
5,1,-0.24883974607075376,2.489499540166055,0.07842891857887592
5,2,0.11043889603057788,2.569165937128911,0.007989307062042116
6,0,-1.9759929676559644,1.5337928693900582,0.13061436123731981
6,1,-1.3025570139954967,2.507339527064218,0.05769959270120404
