split,system,myopic_logvol,policy_logvol,oracle_logvol,volume_ratio_myopic_over_policy,gap_capture
train,0,0.5466936242868767,0.4346229142335017,0.3989935720759527,1.1185919535454207,0.7587723116937815
train,1,0.37745181915046605,0.38024279402508493,0.3422049196159724,0.9972129162748812,-0.07918355689377862
train,2,-0.2495894439497818,-0.273873489800996,-0.3141486159253582,1.0245813046306889,0.3761517551743259
train,3,1.6498238084004795,0.37740253793888684,0.33703422851659837,3.5694847957514666,0.9692499772691225
train,4,0.938150585427931,0.2309667134295019,0.19261077576955588,2.0282713367046883,0.9485527973650103
train,5,1.0345542763800162,1.0809222249233505,1.0176790701199612,0.9546906205336927,-2.7476966994525625
train,6,0.7401478286289451,0.7175792696455866,0.6726647897898976,1.0228251556135133,0.33443305712990135
train,7,-0.2338453014325016,-0.36682447256970135,-0.4171311238213991,1.1422262068101714,0.7255289547439373
train,8,0.7398596769226191,0.7616971718110315,0.7243657497804358,0.978399217007107,-1.409422845997397
train,9,0.4415258221237289,0.26870295251249315,0.23113797288129675,1.1886555394179896,0.8214489108260721
train,10,-0.04041585117978678,-0.016672280844507142,-0.04457949181815283,0.9765360904762836,-5.702598374243315
train,11,0.23615607343417033,0.22740862319007102,0.17617431465477132,1.0087858209874374,0.14583517426140666
train,12,0.5303488781763901,0.3828337265404491,0.33907653235878926,1.1589508446979926,0.7712309430063291
train,13,0.4834009992772781,0.35401488890668786,0.307704346446773,1.1381294829362205,0.7364176168763402
train,14,-0.24860041877030206,-0.38308835509599354,-0.4334657299820198,1.1439508586685703,0.7274914663231147
train,15,0.3898982719501334,0.24749467327898078,0.21306214368349394,1.1530419208260791,0.805285662307827
train,16,-0.18489086913241562,-0.15766065140918226,-0.20762303349485067,0.9731371823076205,-1.197871759551033
train,17,1.6467498414106445,0.7475960544380511,0.7014003829050507,2.457522643345669,0.9511337621052575
train,18,0.5286986789291874,0.5684637576238387,0.5153962894698817,0.9610151755756435,-2.989318484194093
train,19,-0.011556168214569503,-0.2272440024311359,-0.2821315331106652,1.2407150097690651,0.797145129230051
train,20,1.5597232435066029,0.17460109467709958,0.14833681952534988,3.9953138979282627,0.981391152199365
train,21,1.415963950418107,0.3286232714445995,0.30129130941976257,2.966375030682588,0.9754798305623099
train,22,0.8591645177632956,0.9094435772144104,0.8526022304360585,0.950964011974288,-7.661819262687456
train,23,1.4814726268745657,0.5127615837520716,0.47532766209968275,2.6345464531130034,0.9627947035835294
train,24,0.3298378553707456,0.282217667705281,0.250343740630001,1.0487722430342863,0.5990404172782985
train,25,0.1598841141423082,0.12068067918667838,0.08166287143638683,1.0399820308296803,0.501186552392399
train,26,-0.08070085260644522,-0.17590999333225169,-0.21513165387222932,1.0998888626283332,0.7082390332373887
train,27,0.8556220049535683,0.7315333897831198,0.6901270147123144,1.132116189223327,0.7498028489536492
train,28,0.621986582980088,0.6621093588552485,0.6166725643231405,0.9606714846292195,-7.550364134063492
train,29,1.774270561442715,0.9683211310356299,0.8918747633376786,2.238821094905855,0.9133649912407544
train,30,0.40989687444386297,0.4252699523486967,0.3830429220770225,0.9847444846535323,-0.5724698433522417
train,31,0.4903649514474749,0.09068601106388549,0.05197059889136483,1.4913458098559718,0.9116881594236198
train,32,0.07140787312194438,0.09462047014104244,0.03243557937280034,0.9770547427656925,-0.5956179322806188
train,33,-0.21069526928999077,-0.18007858862156265,-0.22066872599176363,0.9698472630380954,-3.069816371989241
train,34,0.9515778757324437,1.0027132151479259,0.9421207280219367,0.9501500690752311,-5.407057284160882
train,35,0.23643110486714883,0.23709312145804812,0.185415022548331,0.9993382024937355,-0.012976625424941683
train,36,0.26382395563028477,0.06698910688211857,0.03820348284336343,1.217542945359204,0.8724157268035663
train,37,0.5989865089202566,0.6532157849213573,0.5981264003355209,0.9472149079572635,-63.049336983147015
train,38,-0.1566821706148364,-0.13284322693900247,-0.17713481549544616,0.9764429594083442,-1.165567769596127
train,39,0.9918494097758569,1.0394283006708989,0.9798694057330091,0.9535352449163291,-3.9715254456401468
test,0,0.8209968224621935,0.7596663237670409,0.7182376635677615,1.0632502589477075,0.5968372975703269
test,1,0.30318733204084697,0.34006181215199555,0.2951372413396706,0.9637971034622445,-4.580629148161046
test,2,0.2076317552636468,0.05899796335507469,0.004921049338847483,1.160248019187415,0.7332310902400567
test,3,1.0662614016594314,0.9301530104523834,0.8615922765602467,1.1458060821685547,0.6650167246334224
test,4,0.2521280064060381,0.15948954978766525,0.11954891308989778,1.0970650269590598,0.6987410631740605
test,5,-0.20912880055832797,-0.16915660146277148,-0.22468503868039783,0.9608161503390072,-2.569528621373272
test,6,-0.013445071389479684,-0.1369852087666936,-0.17838928288004557,1.13149541888911,0.7489813450305886
test,7,0.6939330290043396,-0.22730519141012834,-0.2837607817334197,2.5123993689263506,0.942256369322119
test,8,1.0177348276482499,0.6534874535817699,0.6109867845939665,1.4394302478333025,0.8955110670756654
test,9,2.3751345615924366,-0.14787825637609983,-0.18779965691303366,12.466098227254681,0.9844235563095282
test,10,-0.20439819704610984,-0.19177995698670278,-0.2308863349654069,0.9874610361393301,-0.47637323914016877
test,11,-0.31130240721324454,-0.4262739663748165,-0.48850178713618286,1.1218415310044907,0.6488259677408104
test,12,1.0634528545021078,0.9098738491666738,0.8526124346829894,1.1659999036967215,0.7284134866890827
test,13,0.9498492921667969,0.9608556089852284,0.9100103778205645,0.9890540310809027,-0.27627050081680543
test,14,0.18267070791862308,0.08121066592908073,0.020359041833502487,1.106785692554076,0.625093959274215
test,15,0.36250778075605133,0.29345025049808915,0.23872751056669048,1.0714978509229651,0.5579041809515924
test,16,1.012174446958316,-0.3011087681604879,-0.3483312102549295,3.718361875006698,0.9652905213263365
test,17,0.31919022003751385,0.3268901515330825,0.2807975988627001,0.9923296370363875,-0.20055758788930858
test,18,-0.13540930561598963,-0.13091271238030472,-0.16948830579064134,0.995513501303665,-0.1319461607629416
test,19,-0.021172793237470244,-0.013160232746859174,-0.058937826351409595,0.9920194545077625,-0.21216876644690602
test,20,1.1081468341325937,1.1706999685102786,1.1026072324592129,0.9393631490110753,-11.291991385999463
test,21,0.9738921216366105,0.3917263543334543,0.3567935942117166,1.7899107661606672,0.9433919243536206
test,22,-0.3582545942822831,-0.41281057259489806,-0.47019569347491075,1.056071591864831,0.4873632535869182
test,23,0.7830514724725153,0.6709443393259258,0.6048307150256702,1.118632696866408,0.629035218751249
test,24,0.8220463256274582,0.8028940268947827,0.7572678206918236,1.0193368805113687,0.29565823959206244
test,25,1.0373140441289315,0.948043120469597,0.8682994462846759,1.0933768378571702,0.5281846940913131
test,26,0.35126674556567766,0.21263935022604205,0.18193038561970096,1.1486960107675817,0.8186510881883953
test,27,0.2084922998793201,0.23912087470509502,0.20037942240588213,0.9698357275907489,-3.7753035129711527
test,28,0.8546461686855809,0.9033866768506251,0.8490357289413253,0.9524282449878738,-8.68746664910693
test,29,1.8341163044431519,0.3830207232831854,0.34669687827164625,4.267787662553101,0.975579285591937
test,30,-0.006526625096261833,-0.00806204255933447,-0.07375088929412968,1.00153659681999,0.022840227132174925
test,31,-0.49574517143507074,-0.4585493330311486,-0.5153661397654281,0.963487429031384,-1.8957187931633894
test,32,0.12447879584376696,-0.003004460032499816,-0.051799886979519934,1.1359658473292136,0.7231915614213217
test,33,0.1584507761488963,0.1681140413929487,0.10885835584580522,0.9903832740756343,-0.19485367289989042
test,34,0.8268161231530061,0.7286983139276696,0.6808866885106459,1.1030927319541146,0.672364759486672
test,35,0.8731383434561238,-0.08188174570640883,-0.12840361636892111,2.5987227885596127,0.953549753751067
test,36,-0.24476059833308453,-0.18492282616005365,-0.24581390306072987,0.9419173263913361,-56.8095543507131
test,37,1.4969550752608507,1.0347974339812978,0.9530728216050748,1.5874955383293334,0.8497384096890452
test,38,-0.2634950484975489,-0.3988389852175961,-0.4581353501224527,1.1449305002816994,0.6953541254825626
test,39,0.37196622183003303,0.27894186834021384,0.2376166997212391,1.0974884626167296,0.6924055406351924
