system,mc_containment,min_beta
0,1.0,2.5431474879522784
1,1.0,2.5431474879522784
2,1.0,2.5431474879522784
3,1.0,2.5431474879522784
4,1.0,2.5431474879522784
5,1.0,2.5431474879522784
6,1.0,2.5431474879522784
7,1.0,2.5431474879522784
8,1.0,2.5431474879522784
9,1.0,2.5431474879522784
