system,myopic_logdet,optimized_logdet,volume_ratio_myopic_over_opt
0,1.0997696414767475,1.0523215250325597,1.024007712392336
1,0.05985895675934826,0.020654666875666035,1.0197955284957239
2,0.9106849703800401,-0.552943029449224,2.0788482199102947
3,0.8534346986754552,0.6878914478283775,1.086293698355012
4,0.24431863511289095,0.12313555360551445,1.0624648519522024
5,-0.029492888583516105,-0.14158783258311514,1.0576478912053566
6,0.6349922147553041,0.5710689990615434,1.0324778654958897
7,1.1718545385096553,0.9827530937935105,1.0991649139554178
8,0.6941544216337283,0.65714988003307,1.018674498373335
9,0.3984811575291148,0.23190932033927963,1.0868525154717843
10,0.87040739581792,0.7844653746606431,1.0439076321337548
11,0.44728232713209154,0.2154068010773045,1.1229259824448075
12,0.8481423916082917,0.7162128378601528,1.068189091544462
13,0.9276293961872637,0.7731735229212556,1.0802882856059794
14,1.220034038571369,0.7644040904002245,1.2558529385958632
15,-0.0743700163355387,-0.618492424708993,1.3126673395895265
16,0.9978081875356994,-0.0756259546180146,1.7103825707505642
17,1.3890471983341701,1.0652431943435905,1.1757450150095987
18,0.2202308988507934,0.06994333498119251,1.078039142295552
19,0.8925476437222989,0.8768960003445865,1.0078565234680348
