kappa,N,naive_fixed_mean_gap,naive_fixed_max_gap,pairwise_good_mean_gap,pairwise_good_max_gap,joint_mean_gap,joint_max_gap,naive_fixed_max_overapprox_ratio,pairwise_good_max_overapprox_ratio,joint_max_overapprox_ratio
1.0,10,-1.2490009027033011e-17,4.440892098500626e-16,-2.706168622523819e-17,8.881784197001252e-16,2.7755575615628914e-17,8.881784197001252e-16,1.0000000000000002,1.0000000000000002,1.0000000000000002
2.0,10,0.05551953291393293,0.24733641187330146,-2.3592239273284576e-17,8.881784197001252e-16,1.5265566588595904e-17,8.881784197001252e-16,1.099498953271838,1.0000000000000004,1.0000000000000002
5.0,10,0.3177128517574457,2.623710251386667,-1.3183898417423733e-17,1.3322676295501878e-15,7.28583859910259e-17,1.3322676295501878e-15,1.853238187665079,1.0000000000000002,1.0000000000000004
10.0,10,0.7189127183720547,9.33219237737611,5.551115123125783e-18,1.7763568394002505e-15,-7.979727989493313e-17,1.7763568394002505e-15,3.395002922270646,1.0000000000000004,1.0000000000000004
20.0,10,1.517530720320338,28.749847646785017,-8.673617379884035e-17,2.6645352591003757e-15,1.0408340855860843e-17,2.6645352591003757e-15,6.606133741396087,1.0000000000000004,1.0000000000000002
50.0,10,4.3837625330068395,116.35032248303585,-8.534839501805891e-17,9.769962616701378e-15,9.645062526431048e-17,1.0658141036401503e-14,16.23217951819585,1.000000000000001,1.000000000000001
100.0,10,10.514810550785066,325.89913439900045,2.9282132274488506e-16,4.263256414560601e-14,5.419276138951545e-16,2.4868995751603507e-14,32.04372826172121,1.0000000000000013,1.000000000000001
200.0,10,26.419026884546874,904.7443031327995,2.6680047060523293e-15,9.237055564881302e-14,2.135791543622645e-15,9.592326932761353e-14,63.14331586757432,1.0000000000000053,1.0000000000000056
