scenario,kappa,dim,N,n_dirs,ell_mean_gap,ell_max_gap,ell_min_gap,zono_mean_gap,zono_max_gap,zono_min_gap,ell_per_dir_runtime,ell_full_runtime,zono_runtime,ell_full_vs_zono_slowdown,native_geometry_match
nonnormal_aniso_n4,100.0,4,12,120,2.795306463887417e-18,4.494605367912044e-15,-4.7287191001072845e-15,0.4875898057259503,0.7432186132728394,0.31250893735310986,0.0008419579826295376,0.09300116600934416,7.19579984433949e-05,1292.436810655631,ellipsoid
nonnormal_aniso_n8,100.0,8,12,120,1.8165207899627895e-15,2.534249502583865e-14,-5.0053780098883575e-14,1.118219324920973,1.2205316624808258,0.941471428230212,0.0009767090086825192,0.11717491701710969,0.00010775000555440784,1087.4701714789499,ellipsoid
nonnormal_aniso_n16,100.0,16,12,120,-8.68370607764063e-17,1.3540193391359727e-15,-7.11789878342359e-16,1.797038436763134,2.240793123028897,1.3544950774699134,0.001070957980118692,0.12330333300633356,0.00011483300477266312,1073.7621405138646,ellipsoid
nonnormal_aniso_n32,100.0,32,12,120,-1.5930331621360858e-15,1.7378108784509002e-15,-4.752840919093096e-15,2.976798722541548,3.3502568542712754,2.43882487968669,0.0014755830052308738,0.16145779198268428,0.0001853749854490161,870.9793912679239,ellipsoid
