scenario,kappa,dim,N,n_dirs,ell_mean_gap,ell_max_gap,ell_min_gap,zono_mean_gap,zono_max_gap,zono_min_gap,ell_per_dir_runtime,ell_full_runtime,zono_runtime,ell_full_vs_zono_slowdown,native_geometry_match
ellipsoid_isotropic,1.0,2,15,120,-4.15773715144331e-17,1.3129696267715717e-16,-2.625939253543143e-16,0.2732270156214096,0.2836375839301727,0.2570559738065389,0.001205666980240494,0.1325731669785455,9.091704851016402e-05,1458.1771972472748,ellipsoid
ellipsoid_aniso_k10,10.0,2,15,120,-3.0555854762158626e-17,3.716379454099175e-16,-3.8351478276222375e-16,0.19870339921519725,0.2318941674703682,0.1738017778247424,0.0011501660337671638,0.13281266699777916,0.0001207079621963203,1100.280914209882,ellipsoid
ellipsoid_aniso_k100,100.0,2,15,120,-2.7202200234349872e-17,4.209328286994919e-16,-5.769994432956961e-16,0.10044924549236864,0.12816759242480538,0.07897071658604486,0.0010919169872067869,0.1317130000097677,6.991601549088955e-05,1883.874518377419,ellipsoid
box,1.0,2,15,120,0.11077732748291674,0.12502035855305732,0.10172339925037971,-2.2140615609891042e-16,2.082266452162489e-16,-6.174704638190236e-16,0.0010848750243894756,0.13115170900709927,6.612500874325633e-05,1983.3904221672349,zonotope
