dist_ratio,N,mean_gap_ext,max_gap_ext,mean_gap_int,max_gap_int,vol_ext_final,vol_int_final,runtime_ext,runtime_int,mc_gap_ext
0.001,10,-2.2898349882893852e-17,1.1102230246251565e-16,8.673617379884035e-18,2.220446049250313e-16,1.1566099071353813,1.156609907135382,0.017653291986789554,0.03854325000429526,0.008465337637159842
0.005,10,-2.0816681711721684e-18,1.1102230246251565e-16,3.816391647148976e-18,3.3306690738754696e-16,1.282229248695609,1.2822292486956097,0.018224542029201984,0.038753915985580534,0.03848659149395772
0.01,10,2.5673907444456746e-17,2.220446049250313e-16,1.457167719820518e-17,3.3306690738754696e-16,1.448358442224295,1.448358442224295,0.01780070801032707,0.038255332969129086,0.0730878358697239
0.05,10,-1.0408340855860842e-18,2.220446049250313e-16,1.9428902930940238e-17,3.3306690738754696e-16,3.141592653589789,3.1415926535897896,0.01776012498885393,0.03828599996631965,0.3042393450733242
0.1,10,4.302114220422482e-17,2.220446049250313e-16,-2.706168622523819e-17,2.220446049250313e-16,6.168637075636684,6.168637075636684,0.01912062498740852,0.040998583019245416,0.5523840301527274
0.2,10,3.538835890992686e-17,6.661338147750939e-16,8.326672684688674e-17,8.881784197001252e-16,15.257731445863897,15.257731445863897,0.018487167020794004,0.03908220800803974,1.0363804078703587
0.5,10,1.3600232051658169e-16,8.881784197001252e-16,-1.6653345369377347e-17,8.881784197001252e-16,66.80505876561294,66.80505876561294,0.017867541988380253,0.03850770799908787,2.203911593189225
1.0,10,5.967448757360216e-17,1.7763568394002505e-15,7.702172233337023e-17,1.7763568394002505e-15,233.65075166208595,233.65075166208595,0.01788987504551187,0.03755879198433831,3.8459240420211573
2.0,10,-4.4408920985006264e-17,5.329070518200751e-15,3.858025010572419e-16,3.552713678800501e-15,870.8426900683745,870.8426900683745,0.017924582993146032,0.038538166030775756,6.990175153098955
