kappa,N,mean_gap_ext,max_gap_ext,mean_gap_int,max_gap_int,vol_ext_final,vol_int_final,runtime_ext,runtime_int,mc_gap_ext
1.0,10,1.3183898417423733e-17,4.440892098500626e-16,4.5796699765787705e-17,4.440892098500626e-16,17.993777356060438,17.99377735606044,0.018293833010829985,0.03948583302553743,1.1282526497324108
2.0,10,-2.0816681711721684e-18,8.881784197001252e-16,9.159339953157541e-17,8.881784197001252e-16,22.286026125804536,18.842219695849003,0.01879833301063627,0.04726258403388783,1.2348773489085014
5.0,10,1.5265566588595904e-17,8.881784197001252e-16,1.1032841307212493e-16,8.881784197001252e-16,49.008729323882484,23.65656078102338,0.01816391694592312,0.045765125018078834,1.4550044119507308
10.0,10,2.914335439641036e-17,1.7763568394002505e-15,1.9428902930940238e-17,8.881784197001252e-16,110.14138106418295,32.31067059540423,0.01794349995907396,0.045581209007650614,1.8264848335838244
20.0,10,-9.506284648352902e-17,2.6645352591003757e-15,2.331468351712829e-16,1.7763568394002505e-15,272.2327924850723,49.08595111824313,0.018286624981556088,0.045972874970175326,2.4022646479340537
50.0,10,-6.453171330633723e-17,8.881784197001252e-15,6.106226635438361e-17,1.7763568394002505e-15,973.4430382887926,96.65428093451368,0.018057875044178218,0.045850291033275425,3.5894776454862987
100.0,10,6.265821195228227e-16,1.9539925233402755e-14,3.969047313034935e-16,7.993605777301127e-15,2635.385310389647,172.36441491127096,0.01855445804540068,0.0454519169870764,4.947356940270498
200.0,10,2.1940782524154655e-15,1.1013412404281553e-13,-6.668277041654846e-16,8.881784197001252e-15,7245.833594104899,319.07455360103853,0.018111167009919882,0.04595795797649771,6.878343047576758
